[2023-10-15 19:15:16,821: INFO: main: try]
[2023-10-16 11:14:53,531: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-10-16 11:14:53,535: INFO: common: yaml file: params.yaml loaded successfully]
[2023-10-16 11:14:53,539: INFO: common: created directory at: artifacts]
[2023-10-16 11:14:53,542: INFO: common: created directory at: artifacts/data_ingestion]
[2023-10-16 11:14:53,547: INFO: 3172177572: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-10-16 11:15:10,745: INFO: 3172177572: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-10-16 11:41:35,770: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2023-10-16 11:41:35,773: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-10-16 11:41:35,775: INFO: common: yaml file: params.yaml loaded successfully]
[2023-10-16 11:41:35,776: INFO: common: created directory at: artifacts]
[2023-10-16 11:41:35,778: INFO: common: created directory at: artifacts/data_ingestion]
[2023-10-16 11:41:35,779: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-10-16 11:41:50,794: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-10-16 11:41:51,743: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
